,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
45,대구광역시 동구 (2714000000),344932,343857,343933,343568,342897,342627,342657,343317,343233,342552,342432,341920,341498,341661,342656,342468,341730,340693,340426,340242,340024,340575,341114,341436,341710,341730,341498,341142,341070,341126,340847,340440,340171,340213,340050,339530,340568,341800,342476,342627,343031,342813,342703,342161,341918,342302
46,대구광역시 서구 (2717000000),174803,174389,174042,173807,173278,172802,172657,172465,171947,171576,171060,170700,170383,170005,169432,169022,168704,167773,167270,166878,166406,165862,165208,164528,164127,163588,163042,162325,161790,161542,161928,161802,161169,160802,160343,159827,159603,159255,159896,161149,163028,164088,164513,164734,164457,164069
47,대구광역시 남구 (2720000000),148057,147938,148083,147905,147746,147482,147355,147235,146864,146513,146658,146632,146428,146255,146006,146188,146066,145105,144889,144564,144484,144119,143645,143175,142753,142558,142437,141805,141520,141285,141586,141643,141590,141822,141773,141519,140768,140497,140404,140132,139664,139187,138806,138480,138140,137566
48,대구광역시 북구 (2723000000),437189,436530,436847,436863,437566,438608,439432,439690,440500,440832,440736,440263,439906,439218,438365,438248,437892,437333,437083,436827,437146,436499,436567,437008,437023,436613,437284,436386,435869,435131,434250,433551,432558,432087,431703,430912,425718,424831,423657,422571,420972,419624,418563,417347,416725,416439
49,대구광역시 수성구 (2726000000),428770,428729,428777,428125,427436,426919,426611,426437,425949,425639,424947,424314,424112,423937,422759,421840,420820,419979,420048,419837,419536,418833,418014,417097,416706,416496,415829,415694,415306,414917,414439,413675,412775,412302,411794,411553,407697,407190,406915,406802,407004,407331,408260,409114,408943,408899
50,대구광역시 달서구 (2729000000),568663,567716,567978,567375,566213,565378,564639,563730,562972,561568,560354,558631,557404,555948,554177,552975,552192,551490,550640,549494,548694,547340,545983,544926,544366,543469,542328,540693,539528,539024,538838,538727,537705,537179,536927,536989,533248,532496,531782,530737,529085,527781,526576,525741,525600,525496
51,대구광역시 달성군 (2771000000),256792,256573,256772,256925,257043,257154,257609,258234,258354,258642,258945,259339,259700,260008,259833,260189,260403,260546,260960,261659,262465,262811,262906,262451,262387,261931,262372,262686,262890,263297,263218,263175,262999,263206,263307,263162,263023,263055,262850,262525,262243,262084,261808,261317,260800,260152
52,인천광역시  (2800000000),2956119,2954955,2952689,2950972,2950063,2947217,2945565,2943491,2942553,2942233,2942307,2942828,2942452,2941705,2936461,2936214,2936382,2936367,2937440,2938429,2941795,2945009,2946319,2948375,2949150,2950978,2952699,2953260,2955167,2957066,2960580,2963117,2960097,2962388,2964820,2967314,2981553,2985152,2987918,2990276,2993492,2997410,3000454,3003150,3006045,3008484
53,인천광역시 중구 (2811000000),136013,136879,137587,137994,138535,138783,139042,139154,139299,139391,139646,139729,139762,139776,139325,139548,139930,140175,140641,141341,142053,142618,143052,143633,144088,144935,145672,146380,147093,147705,148626,149164,150353,151310,152265,152931,156906,157127,157595,158181,158588,158958,159481,161569,162369,162789
54,인천광역시 동구 (2814000000),64337,64216,64039,63866,63795,63546,63309,63093,62957,62802,62747,62542,62485,62381,61755,61680,61530,61436,62258,62410,62244,61977,61716,61486,61222,60848,60382,59856,59322,59017,58819,58612,58423,58574,58809,58999,60011,59922,59940,59806,59695,59482,59325,59178,59073,58931
