행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
부산광역시 연제구 (2647000000),209980,210509,210326,210086,209873,209514,209345,210146,210362,210191,209688,209157,208900,208743,207419,206979,206547,206239,205936,205700,205676,205607,205742,207144,207342,207178,206932,206677,206506,206145,205895,205515,204869,204377,203871,203536,203027.0,202918.0,202884.0,203004.0,203008.0,205766.0,209331.0,210999.0,211435.0,211851.0
부산광역시 수영구 (2650000000),176112,176879,176967,176984,176886,176975,176742,176937,177266,177085,176885,176894,176742,176703,176145,176276,176062,175877,175722,175815,175799,175583,175389,175095,174867,174838,174661,174633,174665,174739,174709,174596,174275,174694,174907,174806,175413.0,175455.0,175150.0,174994.0,174744.0,174518.0,174086.0,173944.0,173738.0,173501.0
부산광역시 사상구 (2653000000),217594,217250,216840,216507,216083,215709,215332,214826,214345,213747,213178,212586,212173,212038,211252,210943,210579,210333,210005,209547,209410,209138,208727,208298,207772,207138,206804,206365,206099,205765,205287,204769,203957,203331,203496,203789,202889.0,203534.0,203749.0,203445.0,203139.0,202932.0,202376.0,202062.0,201853.0,201614.0
부산광역시 기장군 (2671000000),164710,166321,167586,168132,169142,170139,171369,172288,172774,173167,173918,174545,175428,176112,176056,176287,176411,176617,176786,176811,176789,176879,177161,177125,176935,176721,176570,176505,176824,177536,177672,177728,178221,178303,178459,178614,179277.0,179181.0,179175.0,179084.0,178958.0,178729.0,178347.0,177912.0,177624.0,177341.0
대구광역시  (2700000000),2436488,2432883,2433568,2431523,2429059,2427954,2428022,2428228,2426849,2424171,2421859,2418346,2415813,2413191,2408875,2406296,2402940,2397646,2395749,2393626,2392787,2390721,2388230,2385412,2383858,2381095,2380494,2378573,2376676,2375306,2374120,2371936,2367735,2366852,2365619,2363691,2379086.0,2378464.0,2377801.0,2376978.0,2376044.0,2374960.0,2373844.0,2372008.0,2369962.0,2368670.0
대구광역시 중구 (2711000000),77282,77151,77136,76955,76880,76984,77062,77120,77030,76849,76727,76547,76382,76159,75647,75366,75133,74727,74433,74125,74032,74682,74793,74791,74786,74710,75704,77842,78703,78984,79014,78923,78768,79241,79722,80199,85296.0,86210.0,86714.0,87387.0,87998.0,89064.0,89685.0,90242.0,90561.0,90953.0
대구광역시 동구 (2714000000),344932,343857,343933,343568,342897,342627,342657,343317,343233,342552,342432,341920,341498,341661,342656,342468,341730,340693,340426,340242,340024,340575,341114,341436,341710,341730,341498,341142,341070,341126,340847,340440,340171,340213,340050,339530,340568.0,341800.0,342476.0,342627.0,343031.0,342813.0,342703.0,342161.0,341918.0,342302.0
대구광역시 서구 (2717000000),174803,174389,174042,173807,173278,172802,172657,172465,171947,171576,171060,170700,170383,170005,169432,169022,168704,167773,167270,166878,166406,165862,165208,164528,164127,163588,163042,162325,161790,161542,161928,161802,161169,160802,160343,159827,159603.0,159255.0,159896.0,161149.0,163028.0,164088.0,164513.0,164734.0,164457.0,164069.0
대구광역시 남구 (2720000000),148057,147938,148083,147905,147746,147482,147355,147235,146864,146513,146658,146632,146428,146255,146006,146188,146066,145105,144889,144564,144484,144119,143645,143175,142753,142558,142437,141805,141520,141285,141586,141643,141590,141822,141773,141519,140768.0,140497.0,140404.0,140132.0,139664.0,139187.0,138806.0,138480.0,138140.0,137566.0
대구광역시 북구 (2723000000),437189,436530,436847,436863,437566,438608,439432,439690,440500,440832,440736,440263,439906,439218,438365,438248,437892,437333,437083,436827,437146,436499,436567,437008,437023,436613,437284,436386,435869,435131,434250,433551,432558,432087,431703,430912,425718.0,424831.0,423657.0,422571.0,420972.0,419624.0,418563.0,417347.0,416725.0,416439.0
대구광역시 수성구 (2726000000),428770,428729,428777,428125,427436,426919,426611,426437,425949,425639,424947,424314,424112,423937,422759,421840,420820,419979,420048,419837,419536,418833,418014,417097,416706,416496,415829,415694,415306,414917,414439,413675,412775,412302,411794,411553,407697.0,407190.0,406915.0,406802.0,407004.0,407331.0,408260.0,409114.0,408943.0,408899.0
대구광역시 달서구 (2729000000),568663,567716,567978,567375,566213,565378,564639,563730,562972,561568,560354,558631,557404,555948,554177,552975,552192,551490,550640,549494,548694,547340,545983,544926,544366,543469,542328,540693,539528,539024,538838,538727,537705,537179,536927,536989,533248.0,532496.0,531782.0,530737.0,529085.0,527781.0,526576.0,525741.0,525600.0,525496.0
대구광역시 달성군 (2771000000),256792,256573,256772,256925,257043,257154,257609,258234,258354,258642,258945,259339,259700,260008,259833,260189,260403,260546,260960,261659,262465,262811,262906,262451,262387,261931,262372,262686,262890,263297,263218,263175,262999,263206,263307,263162,263023.0,263055.0,262850.0,262525.0,262243.0,262084.0,261808.0,261317.0,260800.0,260152.0
인천광역시  (2800000000),2956119,2954955,2952689,2950972,2950063,2947217,2945565,2943491,2942553,2942233,2942307,2942828,2942452,2941705,2936461,2936214,2936382,2936367,2937440,2938429,2941795,2945009,2946319,2948375,2949150,2950978,2952699,2953260,2955167,2957066,2960580,2963117,2960097,2962388,2964820,2967314,2981553.0,2985152.0,2987918.0,2990276.0,2993492.0,2997410.0,3000454.0,3003150.0,3006045.0,3008484.0
인천광역시 중구 (2811000000),136013,136879,137587,137994,138535,138783,139042,139154,139299,139391,139646,139729,139762,139776,139325,139548,139930,140175,140641,141341,142053,142618,143052,143633,144088,144935,145672,146380,147093,147705,148626,149164,150353,151310,152265,152931,156906.0,157127.0,157595.0,158181.0,158588.0,158958.0,159481.0,161569.0,162369.0,162789.0
인천광역시 동구 (2814000000),64337,64216,64039,63866,63795,63546,63309,63093,62957,62802,62747,62542,62485,62381,61755,61680,61530,61436,62258,62410,62244,61977,61716,61486,61222,60848,60382,59856,59322,59017,58819,58612,58423,58574,58809,58999,60011.0,59922.0,59940.0,59806.0,59695.0,59482.0,59325.0,59178.0,59073.0,58931.0
인천광역시 미추홀구 (2817700000),408394,407369,406829,406690,406602,406125,405498,404360,403500,402662,402392,404343,404843,405125,404175,403999,404236,404618,404560,405811,406482,406789,407010,407464,407353,407131,406943,406835,407253,407180,406892,407874,407167,407190,406723,406004,405054.0,405633.0,405471.0,405499.0,404987.0,405995.0,406937.0,407117.0,407307.0,408275.0
인천광역시 연수구 (2818500000),367321,369588,370796,371396,372206,372566,374353,378093,380980,383529,385973,387450,388409,389527,390477,390807,390971,390827,390638,390107,389977,389926,389638,389644,389263,388461,388732,388284,387789,387303,386740,386257,385910,385884,385955,385796,389315.0,389310.0,389722.0,390896.0,391934.0,392416.0,392681.0,392959.0,393825.0,394421.0
인천광역시 남동구 (2820000000),532569,532257,531960,531526,531031,530416,529413,528255,527515,527080,526337,525354,524800,524004,522713,522330,521719,521340,520683,519667,518988,518662,518372,518272,517894,516859,516176,515474,513965,512645,511709,509710,508213,507567,506911,506181,498379.0,497181.0,496318.0,495110.0,493559.0,492415.0,491660.0,490973.0,490390.0,489479.0
인천광역시 부평구 (2823700000),510362,508587,506682,505236,503946,502365,501128,499290,497902,496958,495882,494962,494487,493610,491370,490968,490970,490609,490138,489178,488683,488092,487201,486765,486445,485656,484844,484125,486216,488095,489374,490558,489286,489329,489137,489118,489017.0,488696.0,488383.0,487885.0,490899.0,494138.0,495627.0,495768.0,495215.0,494750.0
