
Variable          Rec   Start     End  Format
g37                 1     688     688  F1.0
g38                 1     689     689  F1.0
g39                 1     690     690  F1.0
g40                 1     691     691  F1.0
g41                 1     692     693  F2.0
g42                 1     694     694  F1.0
g43                 1     695     695  F1.0
g44                 1     696     696  F1.0
g45                 1     697     697  F1.0
g46                 1     698     699  F2.0
g47                 1     700     700  F1.0
g48                 1     701     701  F1.0
g49                 1     702     702  F1.0
g50                 1     703     703  F1.0
g51                 1     704     705  F2.0
g52                 1     706     706  F1.0
g53                 1     707     707  F1.0
g54                 1     708     708  F1.0
g55                 1     709     709  F1.0
g56                 1     710     711  F2.0
g57                 1     712     712  F1.0
g58                 1     713     713  F1.0
g59                 1     714     714  F1.0
g60                 1     715     715  F1.0
g61                 1     716     717  F2.0
g62                 1     718     718  F1.0
g63                 1     719     719  F1.0
g64                 1     720     720  F1.0
g65                 1     721     721  F1.0
g66                 1     722     723  F2.0
g67                 1     724     724  F1.0
g68                 1     725     725  F1.0
g69                 1     726     726  F1.0
g70                 1     727     727  F1.0
g71                 1     728     729  F2.0
g72                 1     730     730  F1.0
g73                 1     731     731  F1.0
g74                 1     732     732  F1.0
g75                 1     733     733  F1.0
g76                 1     734     735  F2.0
g77                 1     736     736  F1.0
g78                 1     737     737  F1.0
g79                 1     738     738  F1.0
g80                 1     739     739  F1.0
