측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-04,홍릉로,0.0396,0.0088,0.64,0.0037,33.0,24.0
2023-01-04,화랑로,0.0471,0.0073,0.67,0.0031,35.0,22.0
2023-01-04,관악산,0.0127,0.0351,0.29,0.0049,27.0,17.0
2023-01-04,남산,0.0334,0.0143,0.83,0.0044,33.0,22.0
2023-01-04,북한산,0.0082,0.0308,0.28,0.0031,22.0,15.0
2023-01-04,세곡,0.0409,0.0083,1.05,0.0054,39.0,22.0
2023-01-04,항동,0.024,0.0118,0.85,0.0041,29.0,17.0
2023-01-04,행주,0.0381,0.01,0.55,0.0041,40.0,25.0
2023-01-04,마포아트센터,0.043,0.0124,0.6,0.0042,35.0,22.0
2023-01-04,서울숲,0.041,0.0103,0.63,0.0037,36.0,21.0
2023-01-04,올림픽공원,0.037,0.0152,0.92,0.0032,32.0,23.0
2023-01-04,자연사박물관,0.0389,0.0142,0.35,0.0042,29.0,19.0
2023-01-05,강남구,0.0523,0.0056,0.8,0.0038,47.0,32.0
2023-01-05,강동구,0.0443,0.003,0.72,0.003,52.0,38.0
2023-01-05,강북구,0.0353,0.0143,0.75,0.0029,47.0,31.0
2023-01-05,강서구,0.056,0.0052,1.07,0.0051,66.0,38.0
2023-01-05,관악구,0.0612,0.0046,1.06,0.0037,53.0,34.0
2023-01-05,광진구,0.0303,0.0042,0.97,0.0025,47.0,34.0
2023-01-05,구로구,0.0479,0.0048,0.76,0.0039,57.0,39.0
2023-01-05,금천구,0.0503,0.0047,0.76,0.0044,51.0,42.0
2023-01-05,노원구,0.0607,0.0064,0.95,0.0045,53.0,41.0
2023-01-05,도봉구,0.0445,0.0107,0.8,0.0028,45.0,33.0
2023-01-05,동대문구,0.0543,0.0051,0.96,0.0041,49.0,35.0
2023-01-05,동작구,0.0601,0.0041,0.92,0.0034,52.0,39.0
2023-01-05,마포구,0.0607,0.0042,1.08,0.0046,41.0,41.0
2023-01-05,서대문구,0.0483,0.0075,1.11,0.0079,45.0,31.0
2023-01-05,서초구,0.0583,0.0035,0.79,0.0034,52.0,34.0
2023-01-05,성동구,0.053,0.0036,0.82,0.0036,49.0,27.0
2023-01-05,성북구,0.0558,0.0048,1.08,0.0042,47.0,35.0
2023-01-05,송파구,0.0556,0.0029,0.96,0.0034,46.0,35.0
2023-01-05,양천구,0.0552,0.0043,1.03,0.0037,58.0,44.0
2023-01-05,영등포구,0.0592,0.0045,0.95,0.004,51.0,38.0
2023-01-05,용산구,0.0483,0.0049,0.8,0.0039,44.0,34.0
2023-01-05,은평구,0.038,0.0093,0.93,0.0037,41.0,26.0
2023-01-05,종로구,0.0566,0.0025,0.94,0.0037,36.0,30.0
2023-01-05,중구,0.0558,0.0085,0.88,0.0038,48.0,42.0
2023-01-05,중랑구,0.0525,0.0044,0.78,0.0031,46.0,35.0
2023-01-05,강남대로,0.0547,0.003,1.24,0.0048,52.0,39.0
2023-01-05,강변북로,0.0569,0.0036,0.78,0.0032,50.0,37.0
2023-01-05,공항대로,0.0582,0.0038,0.98,0.0037,58.0,39.0
2023-01-05,도산대로,0.0545,0.0035,0.95,0.0041,51.0,37.0
2023-01-05,동작대로,0.062,0.0043,1.13,0.0037,57.0,39.0
2023-01-05,시흥대로,0.0667,0.003,1.0,0.0044,50.0,30.0
2023-01-05,신촌로,0.0615,0.0026,1.12,0.0038,57.0,43.0
2023-01-05,영등포로,0.0603,0.0034,1.1,0.0045,53.0,40.0
2023-01-05,정릉로,0.0561,0.0036,1.02,0.0039,51.0,38.0
2023-01-05,종로,0.0561,0.0037,0.97,0.0042,46.0,28.0
2023-01-05,천호대로,0.0562,0.0022,1.03,0.0039,50.0,37.0
2023-01-05,청계천로,0.0474,0.0035,0.98,0.0041,51.0,33.0
2023-01-05,한강대로,0.0587,0.0053,1.07,0.0036,57.0,35.0
2023-01-05,홍릉로,0.0531,0.0035,0.93,0.004,48.0,38.0
2023-01-05,화랑로,0.0553,0.0043,0.82,0.0033,48.0,33.0
2023-01-05,관악산,0.0148,0.0381,0.32,0.004,35.0,24.0
2023-01-05,남산,0.0419,0.0093,1.08,0.0046,46.0,34.0
2023-01-05,북한산,0.012,0.0304,0.36,0.0032,31.0,24.0
2023-01-05,세곡,0.051,0.0056,1.3,0.0051,53.0,39.0
2023-01-05,항동,0.036,0.0053,1.25,0.004,54.0,39.0
2023-01-05,행주,0.0447,0.0071,0.88,0.0039,51.0,35.0
2023-01-05,마포아트센터,0.0561,0.0063,0.86,0.0044,49.0,34.0
2023-01-05,서울숲,0.0546,0.0046,0.88,0.0036,50.0,31.0
2023-01-05,올림픽공원,0.0507,0.0071,0.98,0.0033,51.0,39.0
2023-01-05,자연사박물관,0.0501,0.0075,,0.0042,44.0,31.0
2023-01-06,강남구,0.048,0.0109,0.8,0.0038,79.0,59.0
2023-01-06,강동구,0.0351,0.0116,0.7,0.0031,82.0,65.0
2023-01-06,강북구,0.0445,0.0106,0.85,0.0031,74.0,52.0
2023-01-06,강서구,0.0547,0.0112,1.1,0.0045,92.0,66.0
2023-01-06,관악구,0.0497,0.0115,0.93,0.0034,82.0,55.0
2023-01-06,광진구,0.0294,0.0091,0.97,0.0025,76.0,59.0
2023-01-06,구로구,0.0419,0.0111,0.68,0.0035,85.0,67.0
2023-01-06,금천구,0.0395,0.0197,0.73,0.004,78.0,65.0
2023-01-06,노원구,0.0548,0.0107,0.86,0.0042,75.0,62.0
2023-01-06,도봉구,0.0453,0.0109,0.88,0.0028,66.0,54.0
2023-01-06,동대문구,0.0519,0.0059,0.94,0.004,73.0,56.0
2023-01-06,동작구,0.0485,0.0134,0.81,0.0035,79.0,64.0
2023-01-06,마포구,0.0519,0.0106,1.0,0.0049,71.0,67.0
2023-01-06,서대문구,0.0472,0.0134,1.05,0.0065,71.0,57.0
2023-01-06,서초구,0.0512,0.0082,0.74,0.0033,81.0,65.0
2023-01-06,성동구,0.0461,0.011,0.83,0.0038,83.0,52.0
