구분,자치구명,법정동명,건물유형,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
가스,영등포구,당산동1가, 공동주택 ,6853287,5048676,3112934,1562911,1018466,824431,782547,860230,860230,1572805,3050677,659126805
가스,영등포구,당산동1가, 단독주택 ,6171068,4641208,3225096,1440447,910561,746765,574715,727362,727362,1228438,2437866,4671324
가스,영등포구,당산동2가, 공동주택 ,6835266,4996025,2613203,1299204,1007929,819041,864546,968848,968848,2434151,4149554,8053403
가스,영등포구,당산동2가, 단독주택 ,1699546,1296606,947326,422970,286856,231030,195340,218333,218333,352705,713357,1314724
가스,영등포구,당산동3가, 공동주택 ,13916602,8592424,5056936,2762138,1800702,1430385,1370876,1708254,1708254,3875236,6775270,14515296
가스,영등포구,당산동3가, 단독주택 ,3104924,1889904,1270100,737799,512703,460588,426797,522483,522483,1002887,1484134,3188397
가스,영등포구,당산동4가, 공동주택 ,25225236,18649660,12178190,5839410,3624583,2716956,2389206,2744829,2744829,4542439,9439629,18327594
가스,영등포구,당산동4가, 단독주택 ,1139961,848062,568229,287228,203362,169133,158183,183167,183167,245125,468936,830519
가스,영등포구,당산동5가, 공동주택 ,28130331,18118696,10079186,5477422,3863189,3137167,2969974,3528089,3528089,8312757,13687410,29646367
가스,영등포구,당산동5가, 단독주택 ,397239,242225,162991,83525,64014,44806,43417,49930,49930,117933,176354,426112
가스,영등포구,당산동6가, 공동주택 ,2799092,1702918,1067799,543104,361732,278203,265883,314239,314239,640886,1178421,2432512
가스,영등포구,당산동6가, 단독주택 ,3531906,2111979,1335624,662466,413314,312911,290389,355390,355390,779664,1396597,3021270
가스,영등포구,대림동, 공동주택 ,68721810,47698842,27414845,14401970,9584939,7700719,7219024,8748340,8748340,18530827,33137900,67007523
가스,영등포구,대림동, 단독주택 ,82823866,57115104,36169687,18105404,11718374,9066749,10242481,11130526,11123158,21390843,37931501,74831915
가스,영등포구,도림동, 공동주택 ,15150776,10100041,5528683,3160442,2258557,1710529,1754270,2071330,2071330,4769794,8082268,16453504
가스,영등포구,도림동, 단독주택 ,24026347,15700270,9723926,4962240,3021452,2299623,2196204,2699158,2699158,6203398,10922151,22011937
가스,영등포구,문래동1가, 공동주택 ,290511,143360,85242,39761,24807,17324,16405,22245,22245,51369,92951,267920
가스,영등포구,문래동2가, 공동주택 ,2303100,1207690,785536,398928,256156,182162,179097,240438,240438,461298,823135,2188201
가스,영등포구,문래동2가, 단독주택 ,34764,16922,12918,6889,2936,2688,1577,1705,1705,7265,13932,29446
가스,영등포구,문래동3가, 공동주택 ,24713681,18530627,11084378,5833316,3729316,2860191,2821357,3202808,3202808,6890792,12395725,24395998
가스,영등포구,문래동3가, 단독주택 ,147158,106015,87664,63428,54131,44204,45302,49940,49940,61564,96197,142674
가스,영등포구,문래동4가, 공동주택 ,4380557,3471173,2280518,1091958,636300,487903,420568,470068,470068,667041,1529001,2908646
가스,영등포구,문래동4가, 단독주택 ,31003,23799,14668,5311,2255,1789,1024,513,513,0,,
가스,영등포구,문래동5가, 공동주택 ,9366078,7083248,4432145,2413528,1529077,1179275,1094283,1207781,1207781,2141637,3991866,7902732
가스,영등포구,문래동6가, 공동주택 ,15741221,10199356,6308973,3547599,2361264,1923352,1816670,2112264,2112264,4240634,7097736,14935539
가스,영등포구,신길동, 공동주택 ,127810973,85922885,53217041,27117173,19859505,14828398,13740629,16524416,16524416,33411567,57148766,118471469
가스,영등포구,신길동, 단독주택 ,115954969,75787467,46643167,23135420,14499092,11369323,11153736,13298689,13296815,29305517,51683979,106656839
가스,영등포구,양평동1가, 공동주택 ,7274888,4369117,2892791,1606025,1177152,1114558,1047615,1077786,1077786,1574004,2688418,6291458
가스,영등포구,양평동1가, 단독주택 ,2614769,1785404,1204223,551654,337914,264821,219787,250084,250084,489718,975687,1834467
가스,영등포구,양평동2가, 공동주택 ,5710309,3957155,1984558,1276517,861808,727233,789238,847156,847156,2285823,3561262,7054943
가스,영등포구,양평동2가, 단독주택 ,1256866,813972,416307,261206,170148,144190,172340,178281,178281,573795,840742,1502360
가스,영등포구,양평동3가, 공동주택 ,20720339,14540996,8839196,4775008,3186937,2410169,2341583,2714205,2714205,5471123,10003319,19571147
가스,영등포구,양평동3가, 단독주택 ,794293,545083,519741,192386,131409,88811,69154,97808,96018,152447,314510,469338
가스,영등포구,양평동4가, 공동주택 ,10284051,7501093,4711377,2416755,1625337,1256554,1095883,1226690,1226690,2115324,3968141,8133817
가스,영등포구,양평동4가, 단독주택 ,2639840,1900753,1107553,593163,398124,310721,271404,339122,339122,650342,1127080,2330483
가스,영등포구,양평동5가, 공동주택 ,13115250,8702628,5468096,2732148,2129221,1535494,1541875,1616358,1616358,4405922,6726728,13170966
가스,영등포구,양평동5가, 단독주택 ,447309,268436,150792,88532,59819,56535,63447,68220,68220,168352,246647,471552
가스,영등포구,양평동6가, 공동주택 ,6143459,4365694,2039150,1258189,802917,704239,668899,826003,822085,2294377,3766856,7114934
가스,영등포구,양평동6가, 단독주택 ,516702,375219,159814,96751,59071,61581,47762,64776,64776,237975,369603,650919
가스,영등포구,여의도동, 공동주택 ,8389419,5536585,4720280,3944849,4596323,4961415,5194279,3868666,3868666,4507714,4898229,8342228
가스,영등포구,영등포동, 공동주택 ,26052250,16658851,10627234,5578535,3748086,2802316,2557763,3188411,3188411,6385350,11081268,24093511
가스,영등포구,영등포동, 단독주택 ,8218466,5711746,3353165,1695473,1167241,921316,924438,1148077,1148077,2531289,4401473,8420286
